Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
58,Yes,Travel_Frequently,1249,Research & Development,14,3,Medical,1,1,4,Male,55,2,1,Laboratory Technician,3,Single,2869,23295,0,Y,No,22,4,1,80,0,36,5,2,3,3,3,3
27,No,Travel_Frequently,1230,Sales,9,1,Life Sciences,1,2,1,Male,67,2,3,Sales Executive,1,Married,4582,22599,0,Y,Yes,24,4,2,80,2,10,0,3,10,9,1,7
42,Yes,Travel_Frequently,877,Sales,30,3,Medical,1,3,1,Female,64,3,2,Sales Representative,2,Married,17147,22971,1,Y,No,22,3,1,80,2,24,3,3,6,6,3,3
54,No,Non-Travel,841,Human Resources,8,4,Technical Degree,1,4,1,Female,58,1,2,Manager,1,Single,15087,6532,8,Y,No,21,4,2,80,2,36,6,2,9,9,6,9
42,No,Travel_Frequently,1029,Sales,29,4,Human Resources,1,5,3,Female,30,1,1,Sales Manager,2,Divorced,7182,10630,8,Y,Yes,21,3,2,80,0,22,6,3,11,2,2,7
51,No,Non-Travel,357,Research & Development,2,3,Technical Degree,1,6,4,Male,46,3,3,Research Scientist,2,Divorced,19455,23618,3,Y,No,20,3,2,80,2,33,3,3,3,2,2,2
51,Yes,Travel_Frequently,245,Research & Development,8,2,Medical,1,7,2,Female,95,2,1,Research Director,4,Single,12827,9798,0,Y,No,13,4,2,80,1,29,6,4,2,2,1,1
24,No,Non-Travel,387,Sales,13,4,Technical Degree,1,8,1,Female,84,2,1,Sales Manager,4,Married,16700,8012,5,Y,Yes,13,4,1,80,0,2,5,1,2,2,2,2
33,Yes,Travel_Rarely,417,Research & Development,1,4,Technical Degree,1,9,3,Male,54,1,1,Manufacturing Director,1,Married,17947,11722,6,Y,Yes,11,3,1,80,1,13,4,4,13,5,5,9
50,Yes,Travel_Frequently,747,Research & Development,8,1,Human Resources,1,10,4,Male,63,3,4,Laboratory Technician,2,Single,19130,8693,9,Y,Yes,15,3,3,80,0,32,2,4,2,2,1,2
57,Yes,Non-Travel,1352,Human Resources,29,5,Medical,1,11,2,Male,97,1,2,Manager,3,Single,11912,2256,3,Y,Yes,22,4,1,80,2,37,5,1,10,3,3,9
56,No,Travel_Rarely,367,Human Resources,29,3,Medical,1,12,1,Male,63,1,5,Manager,1,Divorced,12929,7294,0,Y,No,19,4,2,80,3,34,6,1,14,5,0,1
